Time,Data_Filt_E0,Data_Filt_E1,Data_Filt_E6,Data_Filt_CD,On-set
3.869,5.036219430319699e-07,5.101043923883813e-07,4.471951761970295e-07,3.956092970566455e-05,0.0
3.87,5.039405803251801e-07,5.092983450241633e-07,4.492396600329681e-07,3.913337097700715e-05,0.0
3.871,5.038228542234563e-07,5.086419543717854e-07,4.511439569266008e-07,3.866338681052207e-05,0.0
3.872,5.032906113060125e-07,5.081663682432498e-07,4.528967526471798e-07,3.8154339086297385e-05,0.0
3.873,5.023703835074527e-07,5.079003670394982e-07,4.544870232130703e-07,3.7609744350826736e-05,0.0
3.874,5.010911508457104e-07,5.078661260275746e-07,4.5590774600971413e-07,3.703303214788936e-05,0.0
3.875,4.994849524740834e-07,5.080786725810045e-07,4.571573892052518e-07,3.642741970505912e-05,0.0
3.876,4.975862464071527e-07,5.085467358955836e-07,4.582374264187823e-07,3.5795887278601264e-05,0.0
3.8770000000000002,4.954316050757227e-07,5.09272219231843e-07,4.591495560889687e-07,3.514119920207678e-05,0.0
3.878,4.93062349512031e-07,5.102506788606278e-07,4.598951007361354e-07,3.4465946442419075e-05,0.0
3.879,4.905247486790008e-07,5.114725924621943e-07,4.6047473843179725e-07,3.377262993064718e-05,0.0
3.88,4.878652040329384e-07,5.129232308324996e-07,4.608878390883638e-07,3.306384805699532e-05,0.0
3.8810000000000002,4.851260747344555e-07,5.145832815672979e-07,4.611328432798327e-07,3.234250227110345e-05,0.0
3.882,4.82344665084354e-07,5.16430370425845e-07,4.6120875542099917e-07,3.161178171064065e-05,0.0
3.883,4.795532996339263e-07,5.184387719927946e-07,4.6111567732403254e-07,3.087492524113739e-05,0.0
3.884,4.767793774629777e-07,5.20579102021846e-07,4.608532333486542e-07,3.013499609417893e-05,0.0
3.8850000000000002,4.740453623983396e-07,5.228207047775916e-07,4.60418693375942e-07,2.9394827409149615e-05,0.0
3.886,4.7137051064963966e-07,5.251342506748522e-07,4.598067947040782e-07,2.865721158481123e-05,0.0
3.887,4.687764415666938e-07,5.274915385302603e-07,4.5901068697310404e-07,2.7925273366988725e-05,0.0
3.888,4.662927434340701e-07,5.298647208537649e-07,4.580230079081334e-07,2.720274381887372e-05,0.0
3.8890000000000002,4.639559018382818e-07,5.322275557004931e-07,4.568374400064692e-07,2.649393158719118e-05,0.0
3.89,4.618020348042271e-07,5.345568760260274e-07,4.554497860800816e-07,2.580348535150175e-05,0.0
3.891,4.598599304476232e-07,5.368328452967395e-07,4.538570693760437e-07,2.513611950771929e-05,0.0
3.892,4.581482895116077e-07,5.39038818498412e-07,4.520564769026945e-07,2.449638730566025e-05,0.0
3.8930000000000002,4.566761806900213e-07,5.411606616487882e-07,4.50046246120104e-07,2.388851534791638e-05,0.0
3.894,4.5544497706917523e-07,5.431850965453519e-07,4.4782674216945947e-07,2.3316268903866545e-05,0.0
3.895,4.544531483375697e-07,5.45097753669449e-07,4.45400092735425e-07,2.2782843926956715e-05,0.0
3.896,4.537053062862926e-07,5.46882094333874e-07,4.427692720696889e-07,2.229082898439266e-05,0.0
3.8970000000000002,4.5322070282172973e-07,5.485205280028821e-07,4.399374343292946e-07,2.184222924775209e-05,0.0
3.898,4.5303268145872754e-07,5.499980088977916e-07,4.369081020624765e-07,2.143846915954528e-05,0.0
3.899,4.531786923770226e-07,5.513045869290348e-07,4.336859709537609e-07,2.108034809019136e-05,0.0
3.9,4.536919535047346e-07,5.524331300465241e-07,4.302772348727713e-07,2.0768025186398436e-05,0.0
3.9010000000000002,4.546016221120018e-07,5.533748658616777e-07,4.2668945512148485e-07,2.0501072206544352e-05,0.0
3.902,4.55934831381213e-07,5.541177909424903e-07,4.229314797834476e-07,2.0278553972563465e-05,0.0
3.903,4.5771495947109276e-07,5.546487142488168e-07,4.19013310983975e-07,2.0099133239148225e-05,0.0
3.904,4.599599410867727e-07,5.549557926924069e-07,4.149455453481253e-07,1.996123155670448e-05,0.0
3.9050000000000002,4.626834859861107e-07,5.550290820600695e-07,4.107397814706226e-07,1.986321502850343e-05,0.0
3.906,4.6589626557751444e-07,5.548604807413398e-07,4.064120154439048e-07,1.980355049903541e-05,0.0
3.907,4.696046128258565e-07,5.544443308361779e-07,4.019859428819432e-07,1.978090920266683e-05,0.0
3.908,4.7380907990090877e-07,5.537775595975861e-07,3.974910184512494e-07,1.979419449543355e-05,0.0
3.9090000000000003,4.785045967074002e-07,5.528589187591594e-07,3.929575402157491e-07,1.9842488177079785e-05,0.0
3.91,4.836798532925262e-07,5.516877489123088e-07,3.884149501197076e-07,1.9924948235371887e-05,0.0
3.911,4.893158438038171e-07,5.502628920613183e-07,3.838929124366756e-07,2.004069652463603e-05,0.0
3.912,4.953861468620793e-07,5.485834450997817e-07,3.7942099761909946e-07,2.0188720278929268e-05,0.0
3.9130000000000003,5.018607896940535e-07,5.466525509316789e-07,3.750282274302933e-07,2.0367778122290404e-05,0.0
3.914,5.087132072501312e-07,5.444815303246439e-07,3.707456688373507e-07,2.057630738850763e-05,0.0
3.915,5.159235281032585e-07,5.420896580369218e-07,3.6661021679544913e-07,2.0812385772419807e-05,0.0
3.916,5.234738712349303e-07,5.394989794308497e-07,3.6266585523896033e-07,2.107376514945246e-05,0.0
3.9170000000000003,5.313431551125007e-07,5.367291045497695e-07,3.589606677665329e-07,2.1357913114107908e-05,0.0
3.918,5.395070245359219e-07,5.33797500529452e-07,3.5554118436087285e-07,2.1662035306337264e-05,0.0
3.919,5.479379814277502e-07,5.307245495341918e-07,3.524492827716425e-07,2.198312030935447e-05,0.0
3.92,5.566033835563868e-07,5.275373640033267e-07,3.497237470203105e-07,2.2318007563857773e-05,0.0
3.9210000000000003,5.654647560936533e-07,5.242696154793596e-07,3.474012852272466e-07,2.2663432974899497e-05,0.0
3.922,5.74478894497565e-07,5.20958634999271e-07,3.455136357690368e-07,2.301605578314749e-05,0.0
3.923,5.835994696863336e-07,5.176422243786031e-07,3.440849238263262e-07,2.33724951849418e-05,0.0
3.924,5.927788173538075e-07,5.143597899637392e-07,3.43131629910989e-07,2.3729375237778908e-05,0.0
3.9250000000000003,6.019690181701243e-07,5.111574731667638e-07,3.426622992528427e-07,2.4083398003293462e-05,0.0
3.926,6.111222162520858e-07,5.080898566859003e-07,3.4267661192936697e-07,2.4431485020504296e-05,0.0
3.927,6.20190883505547e-07,5.05216557052369e-07,3.431655679053572e-07,2.477093970735697e-05,0.0
3.928,6.291278144548822e-07,5.025986586320178e-07,3.441122846130953e-07,2.5099504775737405e-05,0.0
3.9290000000000003,6.378856992946647e-07,5.002956709685404e-07,3.4549346720539975e-07,2.5415265537943636e-05,0.0
3.93,6.464167643312186e-07,4.983606930207633e-07,3.4728354786555626e-07,2.571648150352405e-05,0.0
3.931,6.546727145219838e-07,4.96835524416259e-07,3.4946067538587615e-07,2.6001470164183472e-05,0.0
3.932,6.626047766657318e-07,4.957490055449401e-07,3.520103272965274e-07,2.626858504352389e-05,0.0
3.9330000000000003,6.701637729716595e-07,4.951181789241976e-07,3.5492384049430525e-07,2.6516227045146533e-05,0.0
3.934,6.77300500545487e-07,4.949495428834645e-07,3.581928620481849e-07,2.6742863961767117e-05,0.0
3.935,6.839670004716062e-07,4.952395908248818e-07,3.61804495416165e-07,2.6947146268233024e-05,0.0
3.936,6.901188296436248e-07,4.959761581166267e-07,3.657416876963972e-07,2.712818753236825e-05,0.0
3.9370000000000003,6.957170833314607e-07,4.971410712926782e-07,3.699861547838455e-07,2.7285855068674432e-05,0.0
3.938,7.007289387411749e-07,4.987138107924991e-07,3.74518429693764e-07,2.7420801065180503e-05,0.0
3.939,7.051270352351608e-07,5.006761093921477e-07,3.793158727429347e-07,2.753421090335817e-05,0.0
3.94,7.088887900533837e-07,5.030142325869177e-07,3.843516902604902e-07,2.762746135736098e-05,0.0
3.9410000000000003,7.119972222590432e-07,5.057163928274415e-07,3.895949649200009e-07,2.770186398805572e-05,0.0
3.942,7.144432994892741e-07,5.087702407809082e-07,3.950108689657616e-07,2.775869095776281e-05,0.0
3.943,7.162260813469522e-07,5.12164958374813e-07,4.005611125647411e-07,2.7799555521835383e-05,0.0
3.944,7.173488251920085e-07,5.158948600989098e-07,4.062053335388984e-07,2.782683499608404e-05,0.0
3.9450000000000003,7.178151423933526e-07,5.199610942397115e-07,4.119030515679448e-07,2.784377086182966e-05,0.0
3.946,7.176287276732173e-07,5.243704590831401e-07,4.1761481326428114e-07,2.7854276435736136e-05,0.0
3.947,7.167951026916179e-07,5.291300593135846e-07,4.2330202260893676e-07,2.7862689256040974e-05,0.0
3.948,7.153228867492562e-07,5.342405013554721e-07,4.289261270417216e-07,2.787357073920215e-05,0.0
3.9490000000000003,7.132235245524208e-07,5.396934086712889e-07,4.344487892838068e-07,2.789153363371077e-05,0.0
3.95,7.105094222396849e-07,5.454731631193698e-07,4.398331898744763e-07,2.792106222890929e-05,0.0
3.951,7.071932450540242e-07,5.515584772276912e-07,4.450448901101064e-07,2.796631490788893e-05,0.0
3.952,7.032903422594503e-07,5.579238767336851e-07,4.500519832174089e-07,2.8030948377053106e-05,0.0
3.9530000000000003,6.988206702119333e-07,5.645425326742865e-07,4.548250489688629e-07,2.8118012664344228e-05,0.0
3.954,6.93807065033239e-07,5.713882631803222e-07,4.5933713291639595e-07,2.822989506471529e-05,0.0
3.955,6.882728009185749e-07,5.784354280976553e-07,4.6356364972732613e-07,2.836825398198556e-05,0.0
3.956,6.822415491739776e-07,5.856569200814024e-07,4.6748192724120243e-07,2.853394792417367e-05,0.0
3.9570000000000003,6.757390483423014e-07,5.930209336550285e-07,4.7107122995583693e-07,2.8727017186258504e-05,0.0
3.958,6.687942069990239e-07,6.00489966494995e-07,4.743142307716901e-07,2.89467738952144e-05,0.0
3.959,6.614377358749691e-07,6.080243039458549e-07,4.77198644768775e-07,2.919203055160213e-05,0.0
3.96,6.536997483519094e-07,6.155867581351488e-07,4.797177613270482e-07,2.9461408227844257e-05,0.0
3.9610000000000003,6.456092043175725e-07,6.231437020229446e-07,4.818719037561602e-07,2.9753584653979155e-05,0.0
3.962,6.371947956248974e-07,6.30661820212554e-07,4.836708711933717e-07,3.006740687570177e-05,0.0
3.963,6.284854454877239e-07,6.381050194757558e-07,4.851327741324425e-07,3.0401915788543258e-05,0.0
3.964,6.195112072004555e-07,6.454346049116893e-07,4.862793963447907e-07,3.0756340454044746e-05,0.0
3.9650000000000003,6.103064125201282e-07,6.526107227505136e-07,4.871336254307003e-07,3.113006355850737e-05,0.0
3.966,6.009124173412124e-07,6.595928774254307e-07,4.877195543525809e-07,3.152255084569336e-05,0.0
3.967,5.913756532499831e-07,6.663409709867137e-07,4.880614307864736e-07,3.1933246493495375e-05,0.0
3.968,5.817428267845931e-07,6.728173618887838e-07,4.881810640553724e-07,3.236141678395438e-05,0.0
3.969,5.720581875407084e-07,6.789871524424304e-07,4.880966537109141e-07,3.2805952459804645e-05,0.0
3.97,5.623639190168295e-07,6.848168794608281e-07,4.878237553914192e-07,3.3265231883075974e-05,0.0
3.971,5.52700874869259e-07,6.902750271819486e-07,4.873758768203413e-07,3.373711890182205e-05,0.0
3.972,5.431074718325854e-07,6.953340819342943e-07,4.867637709181414e-07,3.421902910081481e-05,0.0
3.973,5.336181954207387e-07,6.999724034112234e-07,4.85995309210485e-07,3.4707983746351115e-05,0.0
3.974,5.242636123135987e-07,7.041785180910256e-07,4.850764477935967e-07,3.5200656663529795e-05,0.0
3.975,5.150706850928139e-07,7.079573233874482e-07,4.840115915665524e-07,3.5693446304232244e-05,0.0
3.976,5.060627603883623e-07,7.113298106365279e-07,4.828030596572413e-07,3.618256953447452e-05,0.0
3.977,4.972603896481362e-07,7.143238860962284e-07,4.814515824279759e-07,3.666414435806133e-05,0.0
3.978,4.886819537009605e-07,7.169648904105986e-07,4.799583200043982e-07,3.7134241301156425e-05,0.0
3.979,4.803434932552454e-07,7.192727578618642e-07,4.78326042896982e-07,3.758891846319348e-05,0.0
