time,channel
5.843999999999999,1.1287734290997156e-05
5.848,1.1362820175851164e-05
5.852,1.1437568785149595e-05
5.856,1.1511756534100286e-05
5.86,1.1585160943844952e-05
5.864,1.1657561485309928e-05
5.867999999999999,1.1728740435130886e-05
5.872000000000001,1.1798483737247793e-05
5.876,1.1866581863564602e-05
5.88,1.1932830666628688e-05
5.8839999999999995,1.1997032216551957e-05
5.888,1.205899561361524e-05
5.892,1.2118537767395301e-05
5.896,1.2175484133253445e-05
5.9,1.2229669398386176e-05
5.904,1.2280938112682934e-05
5.9079999999999995,1.2329145263462434e-05
5.912000000000001,1.23741567961532e-05
5.916,1.2415850084171183e-05
5.92,1.2454114350951645e-05
5.9239999999999995,1.2488851046317997e-05
5.928,1.251997417883926e-05
5.932,1.2547410605685983e-05
5.936,1.2571100281614385e-05
5.94,1.2590996468959645e-05
5.944,1.2607065910731218e-05
5.9479999999999995,1.2619288968762473e-05
5.952000000000001,1.2627659728096723e-05
5.956,1.2632186067475618e-05
5.96,1.2632889694365205e-05
5.9639999999999995,1.2629806141842837e-05
5.968,1.262298472402472e-05
5.972,1.2612488446342364e-05
5.976,1.259839386651282e-05
5.98,1.2580790901322837e-05
5.984,1.2559782573545672e-05
5.9879999999999995,1.253548469278992e-05
5.992000000000001,1.2508025464160356e-05
5.996,1.2477545019404576e-05
6.0,1.2444194866443021e-05
6.004,1.2408137254325505e-05
6.007999999999999,1.2369544451719443e-05
6.0120000000000005,1.2328597938884332e-05
6.016,1.2285487516587508e-05
6.0200000000000005,1.2240410340177135e-05
6.024,1.2193569891470479e-05
6.0280000000000005,1.2145174903850207e-05
6.032,1.2095438256864112e-05
6.0360000000000005,1.204457585649324e-05
6.04,1.1992805516687023e-05
6.0440000000000005,1.1940345856715384e-05
6.047999999999999,1.188741522721755e-05
6.0520000000000005,1.183423067573579e-05
6.056,1.1781006960349199e-05
6.0600000000000005,1.172795561801968e-05
6.064,1.1675284092577197e-05
6.0680000000000005,1.1623194925861556e-05
6.072,1.1571885014178246e-05
6.0760000000000005,1.1521544930792554e-05
6.08,1.1472358313773947e-05
6.0840000000000005,1.1424501317174784e-05
6.087999999999999,1.1378142122203102e-05
6.0920000000000005,1.1333440503746747e-05
6.096,1.1290547446632464e-05
6.1000000000000005,1.124960480577205e-05
6.104,1.1210745004955311e-05
6.1080000000000005,1.1174090770090593e-05
6.112,1.1139754893566173e-05
6.1160000000000005,1.1107840026751615e-05
6.12,1.107843849750691e-05
6.1240000000000006,1.1051632149211935e-05
6.127999999999999,1.1027492197627766e-05
6.1320000000000014,1.1006079101996593e-05
6.136,1.0987442446921408e-05
6.1400000000000015,1.0971620831507846e-05
6.144,1.0958641762529113e-05
6.148,1.0948521550026722e-05
6.152,1.0941265206981753e-05
6.156000000000001,1.093686635825754e-05
6.16,1.093530716636524e-05
6.164,1.0936558282164437e-05
6.167999999999999,1.0940578827934031e-05
6.172000000000001,1.0947316419302505e-05
6.176,1.095670723202773e-05
6.18,1.0968676119677707e-05
6.184,1.0983136788456265e-05
6.188,1.0999992035232164e-05
6.192,1.1019134054026701e-05
6.196000000000001,1.1040444814797301e-05
6.2,1.1063796516492576e-05
6.204,1.1089052114393911e-05
6.207999999999999,1.1116065920131741e-05
6.212000000000001,1.1144684271784322e-05
6.216,1.1174746271086267e-05
6.22,1.1206084584514329e-05
6.224,1.1238526304312331e-05
6.228,1.1271893864235342e-05
6.232,1.130600600335456e-05
6.236000000000001,1.1340678770216857e-05
6.24,1.1375726559152577e-05
6.244,1.1410963170264973e-05
6.247999999999999,1.1446202884348172e-05
6.252000000000001,1.1481261543834134e-05
6.256,1.1515957631070976e-05
6.26,1.1550113335493608e-05
6.263999999999999,1.1583555601076708e-05
6.268,1.1616117144852692e-05
6.272,1.1647637436614286e-05
6.276,1.1677963629369225e-05
6.28,1.170695142959858e-05
6.284,1.1734465896051535e-05
6.287999999999999,1.1760382156086938e-05
6.292000000000001,1.1784586029559848e-05
6.296,1.1806974551642836e-05
6.3,1.1827456387559267e-05
6.303999999999999,1.1845952134306342e-05
6.308,1.1862394507562068e-05
6.312,1.1876728415981263e-05
6.316,1.188891092897007e-05
6.32,1.1898911146641448e-05
6.324,1.1906709981722996e-05
6.327999999999999,1.1912299863326563e-05
6.332000000000001,1.1915684372355351e-05
6.336,1.1916877818113065e-05
6.34,1.1915904765330809e-05
6.343999999999999,1.1912799520337004e-05
6.348,1.1907605584588155e-05
6.352,1.190037508342759e-05
6.356,1.1891168177812071e-05
6.36,1.1880052466705747e-05
6.364,1.1867102387641371e-05
6.367999999999999,1.1852398622430025e-05
6.372000000000001,1.183602751415405e-05
6.376,1.1818080500417882e-05
6.38,1.1798653566354998e-05
6.3839999999999995,1.177784671917231e-05
6.388,1.17557634841741e-05
6.392,1.1732510420316497e-05
6.396,1.1708196651502503e-05
6.4,1.1682933408231098e-05
6.404,1.1656833573015358e-05
6.4079999999999995,1.1630011222231702e-05
6.412000000000001,1.1602581156989257e-05
6.416,1.1574658416884598e-05
6.42,1.154635777369369e-05
6.4239999999999995,1.1517793206623133e-05
6.428,1.1489077365099805e-05
6.432,1.1460321027790878e-05
6.436,1.1431632567360622e-05
6.44,1.1403117430143865e-05
6.444,1.1374877639337574e-05
6.4479999999999995,1.1347011329799032e-05
6.452000000000001,1.1319612321837402e-05
6.456,1.1292769740235157e-05
6.46,1.126656768331924e-05
6.4639999999999995,1.1241084945702285e-05
6.468,1.1216394797658287e-05
6.472,1.1192564823862276e-05
6.476,1.1169656823919712e-05
6.48,1.1147726776297222e-05
6.484,1.1126824865914422e-05
6.4879999999999995,1.1106995574052486e-05
6.492000000000001,1.1088277827590575e-05
6.496,1.1070705202885442e-05
6.5,1.1054306177809703e-05
6.504,1.1039104423632461e-05
6.507999999999999,1.1025119126686445e-05
6.5120000000000005,1.1012365328170805e-05
